,edit_count,sentiment_mean,neg_sentiment_ratio
2016-06-23,2.0,-0.9561516046524048,1.0
2016-06-24,1.5,-0.9763749539852142,1.0
2016-06-25,1.3333333333333333,-0.33213337262471515,0.6666666666666666
2016-06-26,1.0,-0.24910002946853638,0.5
2016-06-27,1.2,-0.005699300765991211,0.4
2016-06-28,1.3333333333333333,-0.025688146551450092,0.4166666666666667
2016-06-29,1.1428571428571428,-0.022018411329814365,0.35714285714285715
2016-06-30,1.0,-0.01926610991358757,0.3125
2016-07-01,0.8888888888888888,-0.017125431034300063,0.2777777777777778
2016-07-02,0.8,-0.015412887930870056,0.25
2016-07-03,1.3636363636363635,-0.10432089497516682,0.3181818181818182
2016-07-04,2.5,-0.11906744177852358,0.3416666666666666
2016-07-05,2.3846153846153846,-0.18678570835144964,0.3923076923076923
2016-07-06,2.2142857142857144,-0.1734438720406318,0.36428571428571427
2016-07-07,2.066666666666667,-0.16188094723792304,0.33999999999999997
2016-07-08,1.9375,-0.15176338803555284,0.31875
2016-07-09,1.8235294117647058,-0.14283612991581443,0.3
2016-07-10,1.8888888888888888,-0.15328061118643121,0.32037037037037036
2016-07-11,1.9473684210526316,-0.16299491787614082,0.3385964912280702
2016-07-12,1.85,-0.15484517198233377,0.32166666666666666
2016-07-13,1.8095238095238095,-0.1002018194485143,0.30634920634920637
2016-07-14,1.7727272727272727,-0.14109255492171166,0.3378787878787879
2016-07-15,1.6956521739130435,-0.13495809601207204,0.32318840579710145
2016-07-16,1.625,-0.12933484201156903,0.30972222222222223
2016-07-17,1.56,-0.12416144833110626,0.29733333333333334
2016-07-18,1.7307692307692308,-0.15724573174675743,0.3243589743589744
2016-07-19,1.7407407407407407,-0.1515003415642592,0.3308641975308642
2016-07-20,2.0714285714285716,-0.15836821776816487,0.3417748917748918
2016-07-21,2.2413793103448274,-0.18723322083156735,0.36447230929989555
2016-07-22,2.1666666666666665,-0.1809921134705151,0.3523232323232323
2016-07-23,2.1,-0.14912039331543495,0.318989898989899
2016-07-24,2.1,-0.08265686921227029,0.28565656565656566
2016-07-25,3.466666666666667,-0.1154006808669364,0.30152958152958154
2016-07-26,3.6,-0.14543356643825728,0.33486291486291486
2016-07-27,3.533333333333333,-0.17769702023973025,0.33486291486291486
2016-07-28,3.466666666666667,-0.17350927439043878,0.3181962481962482
2016-07-29,3.5,-0.14086473431895136,0.3181962481962482
2016-07-30,3.5,-0.14086473431895136,0.3181962481962482
2016-07-31,3.5,-0.14086473431895136,0.3181962481962482
2016-08-01,3.533333333333333,-0.17417807625442702,0.3515295815295815
2016-08-02,3.433333333333333,-0.17431187214875463,0.3515295815295815
2016-08-03,3.033333333333333,-0.1539257719360217,0.34264069264069263
2016-08-04,3.3333333333333335,-0.1404463772219841,0.335974025974026
2016-08-05,3.4,-0.17356827003185196,0.3693073593073593
2016-08-06,3.466666666666667,-0.20612749102139716,0.40264069264069263
2016-08-07,3.466666666666667,-0.20612749102139716,0.40264069264069263
2016-08-08,3.466666666666667,-0.20612749102139716,0.40264069264069263
2016-08-09,3.3666666666666667,-0.19509959792849996,0.3804184704184704
2016-08-10,3.3,-0.15103202769250582,0.3581962481962482
2016-08-11,3.3333333333333335,-0.1843592952598225,0.3915295815295815
2016-08-12,3.3666666666666667,-0.21508760461301515,0.40819624819624817
2016-08-13,3.466666666666667,-0.19895140339027753,0.39986291486291486
2016-08-14,3.466666666666667,-0.19895140339027753,0.39986291486291486
2016-08-15,3.466666666666667,-0.19895140339027753,0.39986291486291486
2016-08-16,3.566666666666667,-0.21000073627390042,0.42208513708513706
2016-08-17,3.533333333333333,-0.20009815523118682,0.4154184704184704
2016-08-18,3.5,-0.2332823378750772,0.43208513708513707
2016-08-19,3.3333333333333335,-0.24259540359179177,0.4386507936507936
2016-08-20,3.3666666666666667,-0.21939144299853416,0.4261507936507936
2016-08-21,3.433333333333333,-0.19088488088477226,0.4261507936507936
2016-08-22,3.7333333333333334,-0.20931271998734072,0.4520767195767196
2016-08-23,4.233333333333333,-0.258260181433467,0.47707671957671954
2016-08-24,2.8666666666666667,-0.2907134282975285,0.494537037037037
2016-08-25,3.566666666666667,-0.26691569036134966,0.4812037037037037
2016-08-26,3.8,-0.29044735406299743,0.5097751322751323
2016-08-27,4.066666666666666,-0.29872476035813805,0.5306084656084656
2016-08-28,4.3,-0.3562969478414487,0.5597751322751322
2016-08-29,4.6,-0.3823591107793901,0.5894047619047619
2016-08-30,5.1,-0.40209061172289196,0.6160714285714286
2016-08-31,5.533333333333333,-0.383565028177525,0.606547619047619
2016-09-01,5.533333333333333,-0.383525028493827,0.606547619047619
2016-09-02,5.666666666666667,-0.4092366912063783,0.6192460317460318
2016-09-03,5.466666666666667,-0.3879279765582905,0.6092460317460318
2016-09-04,5.533333333333333,-0.3721596706009731,0.6009126984126983
2016-09-05,5.466666666666667,-0.33960044961142793,0.567579365079365
2016-09-06,5.9,-0.3716967432564553,0.6009126984126983
2016-09-07,6.066666666666666,-0.40413931378384993,0.6342460317460318
2016-09-08,6.066666666666666,-0.40413931378384993,0.6342460317460318
2016-09-09,6.033333333333333,-0.43694513607681357,0.6342460317460318
2016-09-10,6.033333333333333,-0.4369312104449726,0.6342460317460318
2016-09-11,5.966666666666667,-0.43929174213270905,0.6175793650793651
2016-09-12,5.833333333333333,-0.4221013433601515,0.592579365079365
2016-09-13,6.066666666666666,-0.45528148367379956,0.6259126984126984
2016-09-14,6.266666666666667,-0.4876928159366864,0.6592460317460317
2016-09-15,6.233333333333333,-0.5099530162517381,0.6703571428571428
