,edit_count,sentiment_mean,neg_sentiment_ratio
2019-09-12,1.0,-0.9749518036842346,1.0
2019-09-13,2.5,-0.9856198281049728,1.0
2019-09-14,2.0,-0.9901969532171885,1.0
2019-09-15,1.5,-0.7426477149128914,0.75
2019-09-16,1.2,-0.5941181719303131,0.6
2019-09-17,1.0,-0.49509847660859424,0.5
2019-09-18,0.8571428571428571,-0.4243701228073665,0.42857142857142855
2019-09-19,0.75,-0.3713238574564457,0.375
2019-09-20,0.6666666666666666,-0.33006565107239616,0.3333333333333333
2019-09-21,0.6,-0.29705908596515657,0.3
2019-09-22,0.6363636363636364,-0.17917374318296259,0.2727272727272727
2019-09-23,0.75,-0.24749404191970825,0.3333333333333333
2019-09-24,0.9230769230769231,-0.2105317834096077,0.3333333333333333
2019-09-25,0.8571428571428571,-0.19549379888035,0.3095238095238095
2019-09-26,0.8,-0.18246087895499336,0.28888888888888886
2019-09-27,0.875,-0.11145265648762384,0.2708333333333333
2019-09-28,0.8235294117647058,-0.1048966178707048,0.2549019607843137
2019-09-29,0.7777777777777778,-0.09906902798899897,0.24074074074074073
2019-09-30,0.7368421052631579,-0.09385486862115693,0.22807017543859648
2019-10-01,0.7,-0.08916212519009907,0.21666666666666665
2019-10-02,0.6666666666666666,-0.08491630970485627,0.20634920634920634
2019-10-03,0.6363636363636364,-0.08105647744554462,0.19696969696969696
2019-10-04,0.6086956521739131,-0.07753228277399919,0.18840579710144925
2019-10-05,0.5833333333333334,-0.07430177099174923,0.18055555555555555
2019-10-06,0.56,-0.07132970015207926,0.1733333333333333
2019-10-07,0.5384615384615384,-0.06858625014623006,0.16666666666666666
2019-10-08,0.5185185185185185,-0.06604601865933264,0.16049382716049382
2019-10-09,0.5,-0.06368723227864219,0.15476190476190474
2019-10-10,0.4827586206896552,-0.06149112082075798,0.14942528735632182
2019-10-11,0.4666666666666667,-0.059441416793399385,0.14444444444444443
2019-10-12,0.4666666666666667,-0.05907591117752922,0.14444444444444443
2019-10-13,0.5333333333333333,-0.03924531771077049,0.13333333333333333
2019-10-14,0.5,-0.005933610929383171,0.1
2019-10-15,0.5,-0.005933610929383171,0.1
2019-10-16,0.6666666666666666,-0.01181025856071048,0.11999999999999998
2019-10-17,0.6666666666666666,-0.01181025856071048,0.11999999999999998
2019-10-18,0.6666666666666666,-0.01181025856071048,0.11999999999999998
2019-10-19,0.6666666666666666,-0.01181025856071048,0.11999999999999998
2019-10-20,0.6666666666666666,-0.01181025856071048,0.11999999999999998
2019-10-21,0.7,-0.04442360354794396,0.15333333333333332
2019-10-22,0.6666666666666666,-0.07774625970257652,0.15333333333333332
2019-10-23,0.6,-0.04444568210177951,0.11999999999999998
2019-10-24,0.5,-0.05221285939216613,0.10888888888888888
2019-10-25,0.5,-0.05221285939216613,0.10888888888888888
2019-10-26,0.5,-0.05221285939216613,0.10888888888888888
2019-10-27,0.43333333333333335,-0.08400188207626343,0.10888888888888888
2019-10-28,0.43333333333333335,-0.08400188207626343,0.10888888888888888
2019-10-29,0.43333333333333335,-0.08400188207626343,0.10888888888888888
2019-10-30,0.43333333333333335,-0.08400188207626343,0.10888888888888888
2019-10-31,0.43333333333333335,-0.08400188207626343,0.10888888888888888
2019-11-01,0.43333333333333335,-0.08400188207626343,0.10888888888888888
2019-11-02,0.43333333333333335,-0.08400188207626343,0.10888888888888888
2019-11-03,0.43333333333333335,-0.08400188207626343,0.10888888888888888
2019-11-04,0.43333333333333335,-0.08400188207626343,0.10888888888888888
2019-11-05,0.6666666666666666,-0.10125956597782318,0.13269841269841268
2019-11-06,1.1,-0.13434678852339804,0.16603174603174603
2019-11-07,1.1,-0.13434678852339804,0.16603174603174603
2019-11-08,1.4,-0.15964450599752308,0.19566137566137565
2019-11-09,1.4,-0.15964450599752308,0.19566137566137565
2019-11-10,1.4333333333333333,-0.19292489848536692,0.22899470899470897
2019-11-11,1.5333333333333334,-0.19371223908665222,0.22899470899470897
2019-11-12,1.3333333333333333,-0.18033323746922056,0.20677248677248677
2019-11-13,1.3333333333333333,-0.18033323746922056,0.20677248677248677
2019-11-14,1.3333333333333333,-0.18033323746922056,0.20677248677248677
2019-11-15,1.1666666666666667,-0.17445658983789325,0.18677248677248676
2019-11-16,1.1666666666666667,-0.17445658983789325,0.18677248677248676
2019-11-17,1.1666666666666667,-0.17445658983789325,0.18677248677248676
2019-11-18,1.1666666666666667,-0.17445658983789325,0.18677248677248676
2019-11-19,1.1666666666666667,-0.17445658983789325,0.18677248677248676
2019-11-20,1.2333333333333334,-0.15506001189684643,0.17566137566137566
2019-11-21,1.2333333333333334,-0.15506001189684646,0.17566137566137566
2019-11-22,1.2666666666666666,-0.1805509594612894,0.20899470899470898
2019-11-23,1.2666666666666666,-0.1805509594612894,0.20899470899470898
2019-11-24,1.5,-0.1867289723773094,0.22804232804232802
2019-11-25,1.5,-0.18672897237730937,0.22804232804232802
2019-11-26,1.5,-0.18672897237730937,0.22804232804232802
2019-11-27,1.5,-0.18672897237730937,0.22804232804232802
2019-11-28,1.5,-0.18672897237730937,0.22804232804232802
2019-11-29,1.5,-0.18672897237730937,0.22804232804232802
2019-11-30,1.5,-0.18672897237730937,0.22804232804232802
2019-12-01,1.5,-0.18672897237730937,0.22804232804232802
2019-12-02,1.5,-0.18672897237730937,0.22804232804232802
2019-12-03,1.5,-0.18672897237730937,0.22804232804232802
2019-12-04,1.5333333333333334,-0.22002940792036968,0.2613756613756614
2019-12-05,1.3666666666666667,-0.2049722420705932,0.2542328042328042
2019-12-06,0.9333333333333333,-0.1718850195250183,0.22089947089947087
2019-12-07,0.9333333333333333,-0.1718850195250183,0.22089947089947087
2019-12-08,0.6333333333333333,-0.1465873020508933,0.19126984126984128
2019-12-09,0.6333333333333333,-0.1465873020508933,0.19126984126984128
2019-12-10,0.6,-0.11330690956304944,0.15793650793650793
2019-12-11,0.5333333333333333,-0.11363800243725852,0.15793650793650793
2019-12-12,0.6333333333333333,-0.10376563346575177,0.16904761904761903
2019-12-13,0.6666666666666666,-0.13645388361007446,0.20238095238095238
2019-12-14,0.6666666666666666,-0.13645388361007446,0.20238095238095238
2019-12-15,0.6666666666666666,-0.13645388361007446,0.20238095238095238
2019-12-16,0.6666666666666666,-0.13645388361007446,0.20238095238095238
2019-12-17,0.6666666666666666,-0.13645388361007446,0.20238095238095238
2019-12-18,0.6666666666666666,-0.13645388361007446,0.20238095238095238
2019-12-19,0.6666666666666666,-0.13645388361007446,0.20238095238095238
2019-12-20,0.5666666666666667,-0.12323711656388783,0.18015873015873013
2019-12-21,0.5666666666666667,-0.12323711656388783,0.18015873015873013
2019-12-22,0.5333333333333333,-0.09774616899944487,0.1468253968253968
2019-12-23,0.5333333333333333,-0.09774616899944487,0.1468253968253968
2019-12-24,0.3,-0.09156815608342489,0.12777777777777777
2019-12-25,0.3,-0.09156815608342489,0.12777777777777777
2019-12-26,0.3,-0.09156815608342489,0.12777777777777777
2019-12-27,0.3333333333333333,-0.11658633748690288,0.1611111111111111
2019-12-28,0.3333333333333333,-0.11658633748690288,0.1611111111111111
2019-12-29,0.3333333333333333,-0.11658633748690288,0.1611111111111111
2019-12-30,0.3333333333333333,-0.11658633748690288,0.1611111111111111
2019-12-31,0.3333333333333333,-0.11658633748690288,0.1611111111111111
2020-01-01,0.3333333333333333,-0.11658633748690288,0.1611111111111111
2020-01-02,0.3333333333333333,-0.11658633748690288,0.1611111111111111
2020-01-03,0.3,-0.08328590194384257,0.12777777777777777
2020-01-04,0.23333333333333334,-0.08108538389205933,0.1111111111111111
2020-01-05,0.23333333333333334,-0.08108538389205933,0.1111111111111111
2020-01-06,0.23333333333333334,-0.08108538389205933,0.1111111111111111
2020-01-07,0.23333333333333334,-0.08108538389205933,0.1111111111111111
2020-01-08,0.23333333333333334,-0.08108538389205933,0.1111111111111111
2020-01-09,0.23333333333333334,-0.08108538389205933,0.1111111111111111
2020-01-10,0.16666666666666666,-0.04783406257629395,0.07777777777777777
2020-01-11,0.06666666666666667,-0.0577064315478007,0.06666666666666667
2020-01-12,0.03333333333333333,-0.025018181403477988,0.03333333333333333
2020-01-13,0.03333333333333333,-0.025018181403477988,0.03333333333333333
2020-01-14,0.03333333333333333,-0.025018181403477988,0.03333333333333333
2020-01-15,0.03333333333333333,-0.025018181403477988,0.03333333333333333
2020-01-16,0.03333333333333333,-0.025018181403477988,0.03333333333333333
2020-01-17,0.03333333333333333,-0.025018181403477988,0.03333333333333333
2020-01-18,0.03333333333333333,-0.025018181403477988,0.03333333333333333
2020-01-19,0.03333333333333333,-0.025018181403477988,0.03333333333333333
2020-01-20,0.03333333333333333,-0.025018181403477988,0.03333333333333333
2020-01-21,0.03333333333333333,-0.025018181403477988,0.03333333333333333
2020-01-22,0.06666666666666667,-0.05833431680997213,0.06666666666666667
2020-01-23,0.13333333333333333,-0.08991317550341288,0.1
2020-01-24,0.13333333333333333,-0.08991317550341288,0.1
2020-01-25,0.13333333333333333,-0.08991317550341288,0.1
2020-01-26,0.5333333333333333,-0.057968289118546706,0.07948717948717948
2020-01-27,0.5666666666666667,-0.08040012365732438,0.11282051282051282
2020-01-28,0.5666666666666667,-0.08040012365732438,0.11282051282051282
2020-01-29,0.5666666666666667,-0.08040012365732438,0.11282051282051282
2020-01-30,0.5666666666666667,-0.08040012365732438,0.11282051282051282
2020-01-31,0.5666666666666667,-0.08040012365732438,0.11282051282051282
2020-02-01,0.5666666666666667,-0.08040012365732438,0.11282051282051282
2020-02-02,0.6,-0.0471978947138175,0.11282051282051282
2020-02-03,0.7333333333333333,-0.049816200595635636,0.1294871794871795
2020-02-04,0.7333333333333333,-0.049816200595635636,0.1294871794871795
2020-02-05,0.8,-0.049792633912502195,0.14615384615384616
2020-02-06,0.8,-0.049792633912502195,0.14615384615384616
2020-02-07,0.8,-0.049792633912502195,0.14615384615384616
2020-02-08,0.8,-0.049792633912502195,0.14615384615384616
2020-02-09,0.8,-0.049792633912502195,0.14615384615384616
2020-02-10,0.8,-0.049792633912502195,0.14615384615384616
2020-02-11,0.8,-0.049792633912502195,0.14615384615384616
2020-02-12,0.8,-0.049792633912502195,0.14615384615384616
2020-02-13,0.8,-0.049792633912502195,0.14615384615384616
2020-02-14,0.8,-0.049792633912502195,0.14615384615384616
2020-02-15,0.8,-0.049792633912502195,0.14615384615384616
2020-02-16,0.8,-0.049792633912502195,0.14615384615384616
2020-02-17,0.8,-0.049792633912502195,0.14615384615384616
2020-02-18,0.8,-0.049792633912502195,0.14615384615384616
2020-02-19,0.8,-0.049792633912502195,0.14615384615384616
2020-02-20,0.8,-0.049792633912502195,0.14615384615384616
2020-02-21,0.8,-0.049753592870174314,0.14615384615384616
2020-02-22,0.7333333333333333,-0.018174734176733556,0.11282051282051282
2020-02-23,0.7333333333333333,-0.018174734176733556,0.11282051282051282
2020-02-24,0.7333333333333333,-0.018174734176733556,0.11282051282051282
2020-02-25,0.3,-0.025101439158121745,0.1
2020-02-26,0.26666666666666666,-0.0026696046193440755,0.06666666666666667
2020-02-27,0.36666666666666664,-0.013826159636179607,0.08888888888888888
2020-02-28,0.36666666666666664,-0.013826159636179607,0.08888888888888888
2020-02-29,0.36666666666666664,-0.013826159636179607,0.08888888888888888
2020-03-01,0.36666666666666664,-0.013826159636179607,0.08888888888888888
2020-03-02,0.36666666666666664,-0.013826159636179607,0.08888888888888888
2020-03-03,0.3333333333333333,-0.047028388579686484,0.08888888888888888
2020-03-04,0.2,-0.04441008269786835,0.07222222222222222
2020-03-05,0.2,-0.04441008269786835,0.07222222222222222
2020-03-06,0.13333333333333333,-0.04443364938100179,0.05555555555555555
2020-03-07,0.13333333333333333,-0.04443364938100179,0.05555555555555555
2020-03-08,0.13333333333333333,-0.04443364938100179,0.05555555555555555
2020-03-09,0.16666666666666666,-0.06907238364219666,0.08888888888888888
2020-03-10,0.16666666666666666,-0.06907238364219666,0.08888888888888888
2020-03-11,0.26666666666666666,-0.07778352697690329,0.1111111111111111
2020-03-12,0.3,-0.1110918402671814,0.14444444444444443
2020-03-13,0.3,-0.1110918402671814,0.14444444444444443
2020-03-14,0.3,-0.1110918402671814,0.14444444444444443
2020-03-15,0.3,-0.1110918402671814,0.14444444444444443
2020-03-16,0.3,-0.1110918402671814,0.14444444444444443
2020-03-17,0.3,-0.1110918402671814,0.14444444444444443
2020-03-18,0.3333333333333333,-0.14441370566685993,0.17777777777777776
2020-03-19,0.3333333333333333,-0.14441370566685993,0.17777777777777776
2020-03-20,0.4,-0.17743085324764252,0.2111111111111111
2020-03-21,0.6333333333333333,-0.19744550770237332,0.23968253968253966
2020-03-22,0.6,-0.16416841333820706,0.20634920634920634
2020-03-23,0.6333333333333333,-0.13140584414913542,0.20634920634920634
2020-03-24,0.6333333333333333,-0.13140584414913542,0.20634920634920634
2020-03-25,0.6333333333333333,-0.13140584414913542,0.20634920634920634
2020-03-26,0.6333333333333333,-0.13140584414913542,0.20634920634920634
2020-03-27,0.6333333333333333,-0.13140584414913542,0.20634920634920634
2020-03-28,0.5333333333333333,-0.12024928913229989,0.18412698412698408
2020-03-29,0.5333333333333333,-0.12024928913229989,0.18412698412698408
2020-03-30,0.5333333333333333,-0.12024928913229989,0.18412698412698408
2020-03-31,0.5333333333333333,-0.12024928913229989,0.18412698412698408
2020-04-01,0.5666666666666667,-0.09531192367985136,0.18412698412698408
2020-04-02,0.6333333333333333,-0.06222916231268928,0.18412698412698408
2020-04-03,0.7333333333333333,-0.09521857949476394,0.21746031746031746
2020-04-04,0.7333333333333333,-0.09521857949476394,0.21746031746031746
2020-04-05,0.7333333333333333,-0.09521857949476394,0.21746031746031746
2020-04-06,0.7333333333333333,-0.09521857949476394,0.21746031746031746
2020-04-07,0.7333333333333333,-0.09521857949476394,0.21746031746031746
2020-04-08,0.7,-0.07057984523356907,0.1841269841269841
2020-04-09,0.7,-0.07057984523356907,0.1841269841269841
2020-04-10,0.6,-0.06186870189886244,0.1619047619047619
2020-04-11,0.5666666666666667,-0.02856038860858433,0.1285714285714286
2020-04-12,0.6,-0.06163786304375482,0.16190476190476188
2020-04-13,0.6,-0.06163786304375482,0.16190476190476188
